iter	MAE
0	237137.2072
1	224919.9703
2	213914.0923
3	203151.9219
4	193713.805
5	184862.9309
6	176492.0951
7	168400.7048
8	161616.4963
9	154832.8265
10	148529.796
11	142924.8851
12	137266.1983
13	132205.4519
14	127200.3822
15	123005.3785
16	118946.6282
17	115594.1998
18	112137.5433
19	109195.5355
20	106367.6343
21	103847.6786
22	101296.7472
23	99005.76718
24	97100.73011
25	95226.82225
26	93763.74577
27	92130.81456
28	90595.50576
29	89375.16146
30	88149.50351
31	87059.79514
32	86043.62113
33	85119.6879
34	84084.77733
35	83184.95731
36	82417.71192
37	81681.5392
38	80969.96682
39	80313.93393
40	79552.64312
41	78972.7021
42	78424.67654
43	77856.3208
44	77347.40987
45	76901.34648
46	76365.749
47	75967.87268
48	75551.33301
49	75171.15586
50	74817.76086
51	74486.72792
52	74112.6293
53	73841.79973
54	73510.66938
55	73153.71861
56	72885.70099
57	72580.94495
58	72361.21975
59	72077.41035
60	71857.61926
61	71596.31133
62	71383.66827
63	71143.57703
64	70887.28176
65	70632.3668
66	70322.11692
67	70087.20413
68	69911.45049
69	69656.47486
70	69468.39783
71	69310.87472
72	69130.51352
73	68849.1267
74	68690.23749
75	68483.28724
76	68366.98566
77	68235.1858
78	68005.26401
79	67848.94373
80	67708.24328
81	67595.18891
82	67432.02894
83	67234.91548
84	67073.51833
85	66901.6259
86	66781.07614
87	66618.55026
88	66516.2727
89	66341.63102
90	66200.33803
91	66127.29984
92	66015.02453
93	65864.79117
94	65757.0401
95	65628.04155
96	65566.57249
97	65436.69778
98	65325.63517
99	65198.03528
100	65067.8974
101	64969.5585
102	64856.0991
103	64753.2194
104	64634.79314
105	64537.69505
106	64463.04861
107	64392.59585
108	64311.61226
109	64174.05887
110	64056.63588
111	63984.84445
112	63922.60501
113	63849.43558
114	63806.11451
115	63741.10358
116	63695.44409
117	63634.99657
118	63530.71491
119	63461.47271
120	63369.96231
121	63285.56389
122	63184.04304
123	63125.25409
124	63077.75357
125	63016.96335
126	62949.8474
127	62876.24314
128	62774.73697
129	62711.9428
130	62647.9823
131	62574.07103
132	62511.24141
133	62465.12996
134	62407.19953
135	62306.79921
136	62200.68086
137	62122.23653
138	62036.02656
139	61987.31374
140	61921.09577
141	61854.06264
142	61768.14299
143	61718.86769
144	61666.3022
145	61612.5987
146	61544.60619
147	61454.22159
148	61379.85819
149	61301.4376
150	61250.24897
151	61193.94848
152	61158.92302
153	61083.4058
154	61023.87634
155	60951.13224
156	60883.47448
157	60847.34386
158	60760.12579
159	60647.94647
160	60564.93915
161	60504.59575
162	60453.2638
163	60396.29211
164	60336.46077
165	60259.24168
