iter	Passed	Remaining
0	40	40310
1	73	36866
2	108	36079
3	142	35448
4	174	34639
5	211	35005
6	246	34964
7	287	35624
8	324	35703
9	356	35332
10	388	34916
11	420	34619
12	451	34305
13	493	34748
14	535	35150
15	566	34833
16	604	34967
17	720	39286
18	762	39377
19	797	39080
20	832	38829
21	867	38545
22	900	38262
23	934	37992
24	965	37646
25	1000	37466
26	1031	37188
27	1070	37175
28	1103	36954
29	1136	36758
30	1175	36731
31	1208	36554
32	1240	36359
33	1292	36729
34	1324	36512
35	1357	36351
36	1391	36214
37	1421	35998
38	1455	35855
39	1497	35950
40	1528	35762
41	1560	35605
42	1595	35511
43	1626	35329
44	1658	35191
45	1697	35194
46	1730	35084
47	1762	34966
48	1794	34833
49	1825	34675
50	1857	34568
51	1892	34503
52	1925	34405
53	1955	34252
54	1989	34184
55	2019	34050
56	2052	33958
57	2088	33918
58	2122	33848
59	2162	33878
60	2198	33846
61	2233	33785
62	2277	33879
63	2309	33780
64	2341	33681
65	2376	33626
66	2409	33550
67	2448	33564
68	2489	33585
69	2525	33550
70	2558	33480
71	2592	33414
72	2622	33306
73	2661	33309
74	2703	33340
75	2747	33401
76	2795	33507
77	2846	33642
78	2895	33760
79	2943	33854
80	2984	33866
81	3026	33881
82	3067	33888
83	3107	33891
84	3144	33846
85	3187	33871
86	3225	33849
87	3280	33994
88	3318	33966
89	3369	34071
90	3416	34122
91	3469	34243
92	3513	34264
93	3560	34313
94	3618	34470
95	3711	34954
96	3777	35162
97	3827	35224
98	3881	35326
99	3990	35910
100	4024	35822
101	4060	35744
102	4096	35677
103	4138	35653
104	4190	35720
105	4244	35795
106	4308	35960
107	4360	36010
108	4408	36037
109	4511	36504
110	4572	36620
111	4605	36516
112	4644	36459
113	4690	36453
114	4736	36450
115	4779	36423
116	4808	36289
117	4839	36175
118	4872	36075
119	4903	35955
120	4937	35865
121	4972	35782
122	5003	35672
123	5031	35544
124	5065	35457
125	5106	35420
126	5182	35622
127	5243	35719
128	5308	35843
129	5396	36116
130	5495	36452
131	5582	36706
132	5651	36842
133	5718	36956
134	5805	37195
135	5842	37118
136	5877	37024
137	5913	36936
138	5948	36847
139	5980	36737
140	6007	36596
141	6040	36495
142	6070	36380
143	6104	36289
144	6134	36175
